variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_16952	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_16928	7.00E-02	1.13E-01	1.59E-01	-1.00E-01	7.09E-02	8.15E-02	bad-chisq
group_16893	7.00E-02	9.40E-01	9.65E-01	3.04E-03	6.91E-02	2.55E-03	
group_16881	7.00E-02	2.19E-04	2.55E-04	2.47E-01	6.68E-02	2.10E-01	
group_16766	7.00E-02	1.13E-01	1.60E-01	-1.00E-01	7.10E-02	8.13E-02	bad-chisq
group_16765	7.00E-02	1.13E-01	1.60E-01	-1.00E-01	7.10E-02	8.13E-02	bad-chisq
group_16697	7.00E-02	2.19E-04	2.55E-04	2.47E-01	6.68E-02	2.10E-01	
group_16585	7.00E-02	2.87E-02	2.95E-02	1.48E-01	6.76E-02	1.26E-01	
group_16552	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_16413	7.00E-02	4.07E-01	5.39E-01	-4.57E-02	7.43E-02	3.56E-02	bad-chisq
group_16387	7.00E-02	2.19E-04	2.55E-04	2.47E-01	6.68E-02	2.10E-01	
group_16127	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_16125	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_16123	7.00E-02	9.40E-01	9.82E-01	1.60E-03	6.91E-02	1.34E-03	
group_16035	7.00E-02	4.07E-01	4.19E-01	-5.52E-02	6.82E-02	4.68E-02	bad-chisq
group_16000	7.00E-02	2.87E-02	3.05E-02	1.47E-01	6.75E-02	1.25E-01	
group_15981	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_15827	7.00E-02	2.19E-04	2.58E-04	2.47E-01	6.69E-02	2.10E-01	
group_15583	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_15398	7.00E-02	3.26E-03	3.56E-03	1.97E-01	6.72E-02	1.68E-01	
group_15356	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_15259	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_15257	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_15256	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_14856	7.00E-02	4.97E-01	5.04E-01	4.57E-02	6.82E-02	3.87E-02	
group_14615	7.00E-02	4.97E-01	4.95E-01	4.65E-02	6.81E-02	3.95E-02	
group_14569	7.00E-02	2.87E-02	3.02E-02	1.47E-01	6.77E-02	1.25E-01	
group_14462	7.00E-02	4.07E-01	4.13E-01	-5.57E-02	6.80E-02	4.74E-02	bad-chisq
group_14330	7.00E-02	2.87E-02	3.14E-02	1.46E-01	6.75E-02	1.24E-01	
group_14236	7.00E-02	9.40E-01	9.17E-01	-7.06E-03	6.80E-02	6.01E-03	
group_13962	7.00E-02	1.13E-01	9.46E-02	-1.14E-01	6.80E-02	9.67E-02	bad-chisq
group_13958	7.00E-02	2.87E-02	3.61E-02	1.43E-01	6.80E-02	1.21E-01	
group_13084	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_13082	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_12155	7.00E-02	9.40E-01	9.60E-01	-3.40E-03	6.85E-02	2.88E-03	
group_12007	7.00E-02	9.40E-01	9.67E-01	-2.83E-03	6.85E-02	2.39E-03	
group_11810	7.00E-02	2.87E-02	3.02E-02	1.47E-01	6.76E-02	1.25E-01	
group_11515	7.00E-02	9.40E-01	8.69E-01	1.20E-02	7.24E-02	9.58E-03	
group_11475	7.00E-02	1.13E-01	1.37E-01	-1.04E-01	6.96E-02	8.61E-02	bad-chisq
group_11466	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_10978	7.00E-02	2.19E-04	2.57E-04	2.47E-01	6.68E-02	2.10E-01	
group_10010	7.00E-02	4.97E-01	5.20E-01	4.39E-02	6.81E-02	3.73E-02	
group_9601	7.00E-02	4.07E-01	3.73E-01	-6.09E-02	6.82E-02	5.16E-02	bad-chisq
group_9482	7.00E-02	1.13E-01	1.77E-01	-1.05E-01	7.77E-02	7.82E-02	bad-chisq
group_9378	7.00E-02	2.87E-02	2.90E-02	1.48E-01	6.76E-02	1.26E-01	
group_9369	7.00E-02	9.40E-01	9.26E-01	-6.32E-03	6.83E-02	5.36E-03	
group_8954	7.00E-02	4.07E-01	5.53E-01	-4.49E-02	7.56E-02	3.44E-02	bad-chisq
group_8352	7.00E-02	2.87E-02	2.75E-02	1.50E-01	6.75E-02	1.27E-01	
group_6868	7.00E-02	1.13E-01	9.46E-02	-1.14E-01	6.80E-02	9.67E-02	bad-chisq
group_6738	7.00E-02	4.97E-01	5.37E-01	4.21E-02	6.81E-02	3.58E-02	
group_6570	7.00E-02	2.87E-02	3.39E-02	1.44E-01	6.76E-02	1.22E-01	
group_6480	7.00E-02	9.40E-01	9.67E-01	-2.83E-03	6.85E-02	2.39E-03	
group_6455	7.00E-02	4.07E-01	4.26E-01	-5.46E-02	6.85E-02	4.61E-02	bad-chisq
group_6059	7.00E-02	4.07E-01	5.60E-01	-4.41E-02	7.55E-02	3.38E-02	bad-chisq
group_5769	7.00E-02	4.97E-01	5.20E-01	4.39E-02	6.81E-02	3.73E-02	
group_5274	7.00E-02	9.40E-01	9.60E-01	-3.40E-03	6.85E-02	2.88E-03	
group_4980	7.00E-02	1.52E-01	1.61E-01	9.53E-02	6.79E-02	8.11E-02	
group_4975	7.00E-02	1.13E-01	9.93E-02	-1.12E-01	6.78E-02	9.53E-02	bad-chisq
group_4286	7.00E-02	9.40E-01	9.67E-01	-2.83E-03	6.85E-02	2.39E-03	
group_4066	7.00E-02	9.40E-01	9.67E-01	-2.83E-03	6.85E-02	2.39E-03	
group_3925	7.00E-02	4.97E-01	5.43E-01	4.15E-02	6.82E-02	3.52E-02	
group_2665	7.00E-02	4.97E-01	5.29E-01	4.30E-02	6.81E-02	3.65E-02	
group_2640	7.00E-02	4.07E-01	3.73E-01	-6.09E-02	6.82E-02	5.16E-02	bad-chisq
group_1801	7.00E-02	1.52E-01	1.77E-01	9.25E-02	6.83E-02	7.82E-02	
group_25454	6.67E-02	1.23E-01	1.31E-01	1.05E-01	6.94E-02	8.73E-02	
group_25203	6.67E-02	4.40E-01	4.47E-01	5.31E-02	6.96E-02	4.41E-02	
group_23390	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_22227	6.67E-02	4.40E-01	4.31E-01	5.50E-02	6.98E-02	4.57E-02	
group_22109	6.67E-02	1.23E-01	1.16E-01	-1.09E-01	6.94E-02	9.10E-02	bad-chisq
group_20796	6.67E-02	4.40E-01	5.36E-01	-4.49E-02	7.25E-02	3.58E-02	bad-chisq
group_20787	6.67E-02	4.40E-01	4.57E-01	-5.19E-02	6.96E-02	4.31E-02	bad-chisq
group_20767	6.67E-02	1.23E-01	9.92E-02	1.16E-01	7.01E-02	9.54E-02	
group_20756	6.67E-02	1.23E-01	1.86E-01	-1.02E-01	7.67E-02	7.66E-02	bad-chisq
group_20749	6.67E-02	4.40E-01	4.37E-01	-5.42E-02	6.96E-02	4.51E-02	bad-chisq
group_20738	6.67E-02	1.23E-01	1.20E-01	-1.08E-01	6.95E-02	8.99E-02	bad-chisq
group_20583	6.67E-02	4.40E-01	4.30E-01	-5.51E-02	6.98E-02	4.57E-02	bad-chisq
group_20505	6.67E-02	4.40E-01	4.27E-01	-5.56E-02	6.98E-02	4.61E-02	bad-chisq
group_20504	6.67E-02	4.40E-01	4.27E-01	-5.56E-02	6.98E-02	4.61E-02	bad-chisq
group_20473	6.67E-02	4.40E-01	4.62E-01	-5.13E-02	6.97E-02	4.26E-02	bad-chisq
group_20447	6.67E-02	4.40E-01	4.27E-01	-5.56E-02	6.98E-02	4.61E-02	bad-chisq
group_20400	6.67E-02	4.40E-01	4.62E-01	-5.13E-02	6.97E-02	4.26E-02	bad-chisq
group_20395	6.67E-02	4.40E-01	4.62E-01	-5.13E-02	6.97E-02	4.26E-02	bad-chisq
group_20351	6.67E-02	4.40E-01	4.27E-01	-5.56E-02	6.98E-02	4.61E-02	bad-chisq
group_20251	6.67E-02	4.40E-01	5.20E-01	-4.60E-02	7.14E-02	3.73E-02	bad-chisq
group_20219	6.67E-02	4.40E-01	4.62E-01	-5.13E-02	6.97E-02	4.26E-02	bad-chisq
group_20218	6.67E-02	4.40E-01	4.62E-01	-5.13E-02	6.97E-02	4.26E-02	bad-chisq
group_20049	6.67E-02	4.40E-01	3.90E-01	-6.03E-02	7.01E-02	4.98E-02	bad-chisq
group_19796	6.67E-02	1.23E-01	1.74E-01	-1.00E-01	7.36E-02	7.87E-02	bad-chisq
group_19669	6.67E-02	1.23E-01	1.16E-01	1.10E-01	6.95E-02	9.11E-02	
group_19527	6.67E-02	2.03E-03	2.29E-03	2.11E-01	6.86E-02	1.75E-01	
group_19481	6.67E-02	4.40E-01	4.94E-01	-4.81E-02	7.03E-02	3.96E-02	bad-chisq
group_19466	6.67E-02	4.40E-01	4.63E-01	-5.12E-02	6.97E-02	4.26E-02	bad-chisq
group_18931	6.67E-02	4.40E-01	4.37E-01	-5.42E-02	6.96E-02	4.50E-02	bad-chisq
group_18618	6.67E-02	4.40E-01	6.25E-01	-3.82E-02	7.82E-02	2.83E-02	bad-chisq
group_18446	6.67E-02	4.40E-01	4.40E-01	-5.40E-02	6.98E-02	4.48E-02	bad-chisq
group_18198	6.67E-02	4.40E-01	4.76E-01	-4.99E-02	6.98E-02	4.13E-02	bad-chisq
group_18032	6.67E-02	4.40E-01	3.78E-01	-6.19E-02	7.01E-02	5.11E-02	bad-chisq
group_17992	6.67E-02	4.40E-01	6.25E-01	-3.83E-02	7.82E-02	2.83E-02	bad-chisq
group_17855	6.67E-02	1.23E-01	1.45E-01	-1.02E-01	6.97E-02	8.43E-02	bad-chisq
group_17583	6.67E-02	4.40E-01	4.69E-01	5.06E-02	6.98E-02	4.19E-02	
group_17522	6.67E-02	1.15E-04	1.22E-04	2.65E-01	6.80E-02	2.20E-01	
group_17292	6.67E-02	4.40E-01	4.86E-01	4.87E-02	6.99E-02	4.04E-02	
group_16807	6.67E-02	2.03E-03	2.45E-03	2.10E-01	6.87E-02	1.74E-01	
group_16471	6.67E-02	4.40E-01	4.47E-01	5.31E-02	6.98E-02	4.41E-02	
group_16454	6.67E-02	1.15E-04	1.18E-04	2.65E-01	6.80E-02	2.20E-01	
group_16371	6.67E-02	3.67E-06	2.80E-06	3.21E-01	6.72E-02	2.67E-01	
group_16193	6.67E-02	2.03E-03	2.16E-03	2.12E-01	6.86E-02	1.76E-01	
group_16176	6.67E-02	2.06E-02	1.96E-02	1.62E-01	6.91E-02	1.35E-01	
group_16016	6.67E-02	4.40E-01	4.47E-01	5.32E-02	6.98E-02	4.41E-02	
group_15251	6.67E-02	1.23E-01	1.91E-01	-1.04E-01	7.94E-02	7.56E-02	bad-chisq
group_15204	6.67E-02	1.23E-01	1.21E-01	1.08E-01	6.93E-02	8.97E-02	
group_15009	6.67E-02	4.40E-01	6.34E-01	-3.77E-02	7.92E-02	2.76E-02	bad-chisq
group_14893	6.67E-02	4.40E-01	4.70E-01	-5.05E-02	6.98E-02	4.19E-02	bad-chisq
group_14171	6.67E-02	4.40E-01	6.27E-01	-3.80E-02	7.81E-02	2.81E-02	bad-chisq
group_13840	6.67E-02	1.23E-01	1.91E-01	-1.04E-01	7.94E-02	7.56E-02	bad-chisq
group_13550	6.67E-02	1.23E-01	1.91E-01	-1.04E-01	7.94E-02	7.56E-02	bad-chisq
group_13396	6.67E-02	4.40E-01	4.61E-01	-5.18E-02	7.02E-02	4.27E-02	bad-chisq
group_13329	6.67E-02	1.23E-01	1.91E-01	-1.04E-01	7.94E-02	7.56E-02	bad-chisq
group_13083	6.67E-02	1.23E-01	1.91E-01	-1.03E-01	7.89E-02	7.56E-02	bad-chisq
group_13076	6.67E-02	1.23E-01	1.91E-01	-1.04E-01	7.94E-02	7.56E-02	bad-chisq
group_12936	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_12575	6.67E-02	4.40E-01	5.68E-01	-4.38E-02	7.68E-02	3.31E-02	bad-chisq
group_12214	6.67E-02	4.40E-01	4.54E-01	5.21E-02	6.96E-02	4.34E-02	
group_12143	6.67E-02	4.40E-01	4.37E-01	-5.42E-02	6.97E-02	4.50E-02	bad-chisq
group_12058	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_11795	6.67E-02	4.40E-01	4.47E-01	5.31E-02	6.96E-02	4.41E-02	
group_11715	6.67E-02	2.06E-02	2.36E-02	1.57E-01	6.91E-02	1.31E-01	
group_11452	6.67E-02	1.23E-01	1.91E-01	-1.03E-01	7.88E-02	7.56E-02	bad-chisq
group_11363	6.67E-02	4.40E-01	4.31E-01	5.50E-02	6.98E-02	4.57E-02	
group_11245	6.67E-02	4.40E-01	4.48E-01	-5.29E-02	6.97E-02	4.39E-02	bad-chisq
group_10612	6.67E-02	4.40E-01	4.48E-01	5.29E-02	6.96E-02	4.39E-02	
group_10523	6.67E-02	1.23E-01	1.22E-01	-1.09E-01	7.01E-02	8.95E-02	bad-chisq
group_10489	6.67E-02	2.06E-02	2.37E-02	1.57E-01	6.91E-02	1.31E-01	
group_10447	6.67E-02	4.40E-01	5.66E-01	-4.18E-02	7.27E-02	3.32E-02	bad-chisq
group_9939	6.67E-02	4.40E-01	6.22E-01	-3.87E-02	7.84E-02	2.86E-02	bad-chisq
group_9905	6.67E-02	1.23E-01	1.91E-01	-1.04E-01	7.94E-02	7.56E-02	bad-chisq
group_9904	6.67E-02	1.23E-01	1.91E-01	-1.04E-01	7.94E-02	7.56E-02	bad-chisq
group_9794	6.67E-02	4.40E-01	4.72E-01	5.02E-02	6.97E-02	4.17E-02	
group_9721	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_9589	6.67E-02	1.23E-01	1.26E-01	-1.07E-01	6.96E-02	8.86E-02	bad-chisq
group_9370	6.67E-02	4.40E-01	4.07E-01	-5.81E-02	6.99E-02	4.81E-02	bad-chisq
group_7861	6.67E-02	4.40E-01	5.90E-01	-4.15E-02	7.70E-02	3.12E-02	bad-chisq
group_7752	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_7270	6.67E-02	1.23E-01	1.03E-01	-1.14E-01	6.95E-02	9.42E-02	bad-chisq
group_7131	6.67E-02	2.06E-02	2.44E-02	1.57E-01	6.96E-02	1.30E-01	
group_7025	6.67E-02	4.40E-01	4.47E-01	-5.29E-02	6.95E-02	4.41E-02	bad-chisq
group_6989	6.67E-02	4.40E-01	4.47E-01	-5.29E-02	6.95E-02	4.41E-02	bad-chisq
group_6950	6.67E-02	4.40E-01	4.75E-01	4.99E-02	6.97E-02	4.14E-02	
group_6867	6.67E-02	1.23E-01	1.03E-01	-1.14E-01	6.95E-02	9.42E-02	bad-chisq
group_6561	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_6220	6.67E-02	1.23E-01	1.31E-01	1.05E-01	6.94E-02	8.73E-02	
group_6191	6.67E-02	1.23E-01	1.09E-01	-1.11E-01	6.93E-02	9.26E-02	bad-chisq
group_5699	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_5531	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_5481	6.67E-02	1.23E-01	1.91E-01	-1.04E-01	7.94E-02	7.56E-02	bad-chisq
group_5456	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_5084	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_4851	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_4733	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_4694	6.67E-02	6.64E-08	5.15E-08	3.72E-01	6.66E-02	3.08E-01	
group_4535	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_4011	6.67E-02	1.23E-01	1.03E-01	-1.14E-01	6.95E-02	9.42E-02	bad-chisq
group_3953	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_3840	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_3730	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_3014	6.67E-02	1.23E-01	1.28E-01	1.06E-01	6.94E-02	8.81E-02	
group_2302	6.67E-02	4.40E-01	5.03E-01	-4.88E-02	7.27E-02	3.88E-02	bad-chisq
group_2087	6.67E-02	1.23E-01	1.45E-01	-1.03E-01	7.05E-02	8.43E-02	bad-chisq
group_822	6.67E-02	1.23E-01	1.08E-01	-1.12E-01	6.94E-02	9.29E-02	bad-chisq
group_25617	6.33E-02	3.85E-01	3.90E-01	6.13E-02	7.13E-02	4.98E-02	
group_25114	6.33E-02	1.33E-01	1.18E-01	-1.11E-01	7.10E-02	9.04E-02	bad-chisq
group_25067	6.33E-02	1.44E-06	1.27E-06	3.40E-01	6.87E-02	2.75E-01	
group_21973	6.33E-02	1.33E-01	1.18E-01	-1.11E-01	7.10E-02	9.04E-02	bad-chisq
group_20745	6.33E-02	9.71E-02	1.04E-01	1.16E-01	7.11E-02	9.41E-02	
group_20548	6.33E-02	4.77E-01	4.63E-01	-5.25E-02	7.15E-02	4.25E-02	bad-chisq
group_20488	6.33E-02	1.33E-01	1.84E-01	-9.94E-02	7.46E-02	7.69E-02	bad-chisq
group_20434	6.33E-02	4.77E-01	4.62E-01	-5.26E-02	7.15E-02	4.26E-02	bad-chisq
group_20432	6.33E-02	4.77E-01	4.35E-01	-5.61E-02	7.16E-02	4.53E-02	bad-chisq
group_20365	6.33E-02	4.77E-01	4.62E-01	-5.26E-02	7.15E-02	4.26E-02	bad-chisq
group_20239	6.33E-02	4.77E-01	5.56E-01	-4.29E-02	7.27E-02	3.42E-02	bad-chisq
group_20212	6.33E-02	4.77E-01	4.95E-01	-4.87E-02	7.14E-02	3.95E-02	bad-chisq
group_20211	6.33E-02	4.77E-01	4.99E-01	-4.83E-02	7.13E-02	3.92E-02	bad-chisq
group_20093	6.33E-02	4.77E-01	4.95E-01	-4.89E-02	7.15E-02	3.96E-02	bad-chisq
group_20079	6.33E-02	4.77E-01	5.56E-01	-4.29E-02	7.27E-02	3.42E-02	bad-chisq
group_20056	6.33E-02	1.33E-01	1.31E-01	-1.08E-01	7.10E-02	8.75E-02	bad-chisq
group_20000	6.33E-02	4.77E-01	4.95E-01	-4.87E-02	7.14E-02	3.95E-02	bad-chisq
group_19734	6.33E-02	3.85E-01	3.50E-01	6.70E-02	7.15E-02	5.42E-02	
group_19663	6.33E-02	4.77E-01	4.82E-01	-5.03E-02	7.13E-02	4.08E-02	bad-chisq
group_19658	6.33E-02	9.71E-02	1.12E-01	1.14E-01	7.13E-02	9.19E-02	
group_19578	6.33E-02	9.37E-01	9.33E-01	5.98E-03	7.14E-02	4.85E-03	
group_19518	6.33E-02	1.43E-02	7.02E-03	1.98E-01	7.28E-02	1.55E-01	
group_18972	6.33E-02	1.43E-02	1.48E-02	1.73E-01	7.06E-02	1.41E-01	
group_18945	6.33E-02	9.37E-01	9.80E-01	1.79E-03	7.13E-02	1.46E-03	
group_18814	6.33E-02	3.85E-01	4.07E-01	5.91E-02	7.13E-02	4.80E-02	
group_18790	6.33E-02	1.33E-01	1.18E-01	-1.11E-01	7.10E-02	9.04E-02	bad-chisq
group_18762	6.33E-02	3.85E-01	3.90E-01	6.13E-02	7.13E-02	4.98E-02	
group_18702	6.33E-02	3.85E-01	4.32E-01	5.62E-02	7.13E-02	4.56E-02	
group_18518	6.33E-02	9.37E-01	9.96E-01	3.46E-04	7.15E-02	2.80E-04	
group_18452	6.33E-02	3.85E-01	3.90E-01	6.13E-02	7.13E-02	4.98E-02	
group_18413	6.33E-02	1.33E-01	1.36E-01	-1.06E-01	7.11E-02	8.63E-02	bad-chisq
group_18372	6.33E-02	5.58E-05	6.06E-05	2.83E-01	6.95E-02	2.29E-01	
group_18267	6.33E-02	4.77E-01	6.77E-01	-3.33E-02	7.99E-02	2.42E-02	bad-chisq
group_18212	6.33E-02	1.33E-01	1.57E-01	-1.01E-01	7.14E-02	8.19E-02	bad-chisq
group_18159	6.33E-02	4.77E-01	4.73E-01	-5.12E-02	7.13E-02	4.16E-02	bad-chisq
group_18125	6.33E-02	1.43E-02	1.36E-02	1.75E-01	7.07E-02	1.42E-01	
group_17786	6.33E-02	1.33E-01	1.57E-01	-1.01E-01	7.14E-02	8.19E-02	bad-chisq
group_17759	6.33E-02	4.77E-01	5.27E-01	-4.55E-02	7.18E-02	3.66E-02	bad-chisq
group_17737	6.33E-02	3.85E-01	4.25E-01	5.71E-02	7.14E-02	4.62E-02	
group_17470	6.33E-02	9.37E-01	9.21E-01	7.17E-03	7.22E-02	5.76E-03	
group_17304	6.33E-02	9.37E-01	9.66E-01	3.09E-03	7.15E-02	2.51E-03	
group_17300	6.33E-02	3.85E-01	3.89E-01	6.15E-02	7.13E-02	4.99E-02	
group_17299	6.33E-02	1.33E-01	1.25E-01	-1.09E-01	7.10E-02	8.87E-02	bad-chisq
group_17298	6.33E-02	9.71E-02	1.06E-01	1.15E-01	7.09E-02	9.34E-02	
group_17020	6.33E-02	4.77E-01	6.19E-01	-3.93E-02	7.90E-02	2.88E-02	bad-chisq
group_16628	6.33E-02	3.85E-01	3.88E-01	6.18E-02	7.15E-02	5.00E-02	
group_16515	6.33E-02	3.85E-01	3.90E-01	6.13E-02	7.13E-02	4.98E-02	
group_16145	6.33E-02	4.77E-01	6.27E-01	-3.80E-02	7.82E-02	2.82E-02	bad-chisq
group_16050	6.33E-02	3.85E-01	3.90E-01	6.13E-02	7.13E-02	4.98E-02	
group_15746	6.33E-02	9.71E-02	1.11E-01	1.14E-01	7.12E-02	9.21E-02	
group_15682	6.33E-02	9.37E-01	9.58E-01	3.80E-03	7.13E-02	3.09E-03	
group_15660	6.33E-02	9.71E-02	8.87E-02	1.21E-01	7.10E-02	9.85E-02	
group_15652	6.33E-02	1.33E-01	1.39E-01	-1.06E-01	7.15E-02	8.57E-02	bad-chisq
group_15402	6.33E-02	1.20E-03	1.25E-03	2.29E-01	7.01E-02	1.86E-01	
group_15289	6.33E-02	5.58E-05	6.12E-05	2.83E-01	6.95E-02	2.29E-01	
group_15119	6.33E-02	3.85E-01	3.90E-01	6.13E-02	7.13E-02	4.98E-02	
group_15115	6.33E-02	4.77E-01	6.17E-01	-3.92E-02	7.82E-02	2.90E-02	bad-chisq
group_15050	6.33E-02	4.77E-01	4.91E-01	-4.93E-02	7.15E-02	3.99E-02	bad-chisq
group_14932	6.33E-02	1.33E-01	1.74E-01	-1.01E-01	7.45E-02	7.87E-02	bad-chisq
group_14911	6.33E-02	4.77E-01	5.81E-01	-4.23E-02	7.65E-02	3.20E-02	bad-chisq
group_14699	6.33E-02	4.77E-01	6.20E-01	-3.93E-02	7.92E-02	2.88E-02	bad-chisq
group_14685	6.33E-02	9.71E-02	9.82E-02	1.18E-01	7.10E-02	9.57E-02	
group_14451	6.33E-02	3.85E-01	3.91E-01	6.12E-02	7.13E-02	4.97E-02	
group_14314	6.33E-02	3.85E-01	4.44E-01	5.51E-02	7.19E-02	4.43E-02	
group_14132	6.33E-02	4.77E-01	6.20E-01	-3.93E-02	7.92E-02	2.88E-02	bad-chisq
group_13843	6.33E-02	4.77E-01	4.87E-01	-5.10E-02	7.32E-02	4.03E-02	bad-chisq
group_13764	6.33E-02	4.77E-01	6.50E-01	-3.59E-02	7.91E-02	2.63E-02	bad-chisq
group_13703	6.33E-02	9.37E-01	9.59E-01	3.66E-03	7.16E-02	2.96E-03	
group_13566	6.33E-02	1.33E-01	1.90E-01	-1.01E-01	7.70E-02	7.59E-02	bad-chisq
group_13281	6.33E-02	1.33E-01	1.87E-01	-1.03E-01	7.77E-02	7.64E-02	bad-chisq
group_13223	6.33E-02	9.37E-01	9.87E-01	1.22E-03	7.19E-02	9.81E-04	
group_13017	6.33E-02	9.37E-01	9.12E-01	7.92E-03	7.18E-02	6.39E-03	
group_12994	6.33E-02	3.85E-01	3.70E-01	6.41E-02	7.14E-02	5.20E-02	
group_12630	6.33E-02	3.85E-01	4.07E-01	5.92E-02	7.12E-02	4.81E-02	
group_12588	6.33E-02	3.85E-01	3.90E-01	6.13E-02	7.13E-02	4.98E-02	
group_12574	6.33E-02	4.77E-01	6.20E-01	-3.93E-02	7.92E-02	2.88E-02	bad-chisq
group_12227	6.33E-02	3.85E-01	3.90E-01	6.13E-02	7.13E-02	4.98E-02	
group_12132	6.33E-02	1.33E-01	1.18E-01	-1.11E-01	7.10E-02	9.04E-02	bad-chisq
group_12003	6.33E-02	1.33E-01	1.73E-01	-1.01E-01	7.41E-02	7.88E-02	bad-chisq
group_11957	6.33E-02	4.77E-01	4.80E-01	-5.10E-02	7.21E-02	4.09E-02	bad-chisq
group_11898	6.33E-02	9.37E-01	9.38E-01	5.54E-03	7.13E-02	4.50E-03	
group_11755	6.33E-02	4.77E-01	4.32E-01	-5.61E-02	7.14E-02	4.55E-02	bad-chisq
group_11739	6.33E-02	4.77E-01	4.92E-01	-4.90E-02	7.13E-02	3.98E-02	bad-chisq
group_11238	6.33E-02	3.85E-01	3.90E-01	6.13E-02	7.13E-02	4.98E-02	
group_10765	6.33E-02	1.43E-02	1.68E-02	1.70E-01	7.07E-02	1.38E-01	
group_10613	6.33E-02	4.77E-01	6.20E-01	-3.93E-02	7.92E-02	2.88E-02	bad-chisq
group_10532	6.33E-02	9.37E-01	9.48E-01	4.67E-03	7.15E-02	3.78E-03	
group_10284	6.33E-02	4.77E-01	6.20E-01	-3.93E-02	7.92E-02	2.88E-02	bad-chisq
group_9914	6.33E-02	9.37E-01	9.58E-01	3.78E-03	7.14E-02	3.07E-03	
group_9658	6.33E-02	4.77E-01	6.50E-01	-3.59E-02	7.91E-02	2.63E-02	bad-chisq
group_9214	6.33E-02	9.71E-02	1.00E-01	1.17E-01	7.11E-02	9.51E-02	
group_8615	6.33E-02	4.77E-01	5.13E-01	-4.81E-02	7.34E-02	3.79E-02	bad-chisq
group_8180	6.33E-02	1.33E-01	1.73E-01	-1.01E-01	7.41E-02	7.88E-02	bad-chisq
group_7943	6.33E-02	4.77E-01	6.20E-01	-3.93E-02	7.92E-02	2.88E-02	bad-chisq
group_7870	6.33E-02	3.85E-01	3.90E-01	6.13E-02	7.13E-02	4.98E-02	
group_7845	6.33E-02	3.85E-01	3.90E-01	6.13E-02	7.13E-02	4.98E-02	
group_7121	6.33E-02	4.77E-01	5.20E-01	-4.64E-02	7.20E-02	3.73E-02	bad-chisq
group_6967	6.33E-02	4.77E-01	4.87E-01	-4.98E-02	7.15E-02	4.03E-02	bad-chisq
