variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_18932	1.00E-02	5.62E-01	5.62E-01	-1.01E-01	1.74E-01	3.36E-02	bad-chisq
group_18924	1.00E-02	5.62E-01	6.01E-01	-9.17E-02	1.75E-01	3.03E-02	bad-chisq
group_18921	1.00E-02	5.62E-01	5.86E-01	-9.52E-02	1.75E-01	3.16E-02	bad-chisq
group_18919	1.00E-02	5.62E-01	6.01E-01	-9.17E-02	1.75E-01	3.03E-02	bad-chisq
group_18918	1.00E-02	5.62E-01	6.09E-01	-8.94E-02	1.75E-01	2.96E-02	bad-chisq
group_18917	1.00E-02	5.62E-01	5.65E-01	-1.01E-01	1.75E-01	3.33E-02	bad-chisq
group_18901	1.00E-02	1.76E-01	1.64E-01	2.43E-01	1.74E-01	8.06E-02	bad-chisq
group_18874	1.00E-02	5.62E-01	5.46E-01	-1.05E-01	1.75E-01	3.50E-02	bad-chisq
group_18870	1.00E-02	5.62E-01	6.64E-01	-7.80E-02	1.79E-01	2.52E-02	bad-chisq
group_18853	1.00E-02	1.77E-07	1.11E-07	9.07E-01	1.67E-01	3.01E-01	bad-chisq
group_18850	1.00E-02	1.77E-07	1.11E-07	9.07E-01	1.67E-01	3.01E-01	bad-chisq
group_18849	1.00E-02	5.62E-01	5.73E-01	-9.85E-02	1.75E-01	3.27E-02	bad-chisq
group_18846	1.00E-02	5.62E-01	5.73E-01	-9.85E-02	1.75E-01	3.27E-02	bad-chisq
group_18824	1.00E-02	5.62E-01	5.76E-01	-9.77E-02	1.74E-01	3.24E-02	bad-chisq
group_18821	1.00E-02	5.62E-01	6.27E-01	-8.65E-02	1.78E-01	2.82E-02	bad-chisq
group_18820	1.00E-02	5.62E-01	6.27E-01	-8.65E-02	1.78E-01	2.82E-02	bad-chisq
group_18808	1.00E-02	5.62E-01	5.62E-01	-1.01E-01	1.74E-01	3.36E-02	bad-chisq
group_18801	1.00E-02	5.62E-01	5.87E-01	-9.55E-02	1.76E-01	3.15E-02	bad-chisq
group_18768	1.00E-02	5.62E-01	6.09E-01	-8.94E-02	1.75E-01	2.96E-02	bad-chisq
group_18751	1.00E-02	5.62E-01	5.54E-01	-1.03E-01	1.74E-01	3.43E-02	bad-chisq
group_18745	1.00E-02	5.62E-01	5.82E-01	-9.63E-02	1.75E-01	3.19E-02	bad-chisq
group_18736	1.00E-02	5.62E-01	5.69E-01	-9.96E-02	1.74E-01	3.30E-02	bad-chisq
group_18724	1.00E-02	1.76E-01	1.64E-01	2.43E-01	1.74E-01	8.06E-02	bad-chisq
group_18723	1.00E-02	1.76E-01	1.64E-01	2.43E-01	1.74E-01	8.06E-02	bad-chisq
group_18719	1.00E-02	5.62E-01	6.20E-01	-8.76E-02	1.77E-01	2.87E-02	bad-chisq
group_18713	1.00E-02	5.62E-01	6.19E-01	-8.77E-02	1.76E-01	2.88E-02	bad-chisq
group_18696	1.00E-02	5.62E-01	5.64E-01	-1.01E-01	1.75E-01	3.34E-02	bad-chisq
group_18686	1.00E-02	5.62E-01	5.95E-01	-9.45E-02	1.78E-01	3.08E-02	bad-chisq
group_18654	1.00E-02	5.62E-01	6.38E-01	-8.31E-02	1.76E-01	2.73E-02	bad-chisq
group_18616	1.00E-02	1.77E-07	1.11E-07	9.07E-01	1.67E-01	3.01E-01	bad-chisq
group_18615	1.00E-02	1.77E-07	1.11E-07	9.07E-01	1.67E-01	3.01E-01	bad-chisq
group_18610	1.00E-02	5.62E-01	5.73E-01	-9.85E-02	1.75E-01	3.27E-02	bad-chisq
group_18609	1.00E-02	5.62E-01	5.73E-01	-9.85E-02	1.75E-01	3.27E-02	bad-chisq
group_18605	1.00E-02	5.62E-01	5.54E-01	-1.03E-01	1.74E-01	3.43E-02	bad-chisq
group_18594	1.00E-02	5.62E-01	5.58E-01	-1.02E-01	1.74E-01	3.40E-02	bad-chisq
group_18592	1.00E-02	5.62E-01	6.51E-01	-8.13E-02	1.79E-01	2.62E-02	bad-chisq
group_18588	1.00E-02	5.62E-01	6.37E-01	-8.33E-02	1.76E-01	2.74E-02	bad-chisq
group_18585	1.00E-02	5.62E-01	6.20E-01	-8.76E-02	1.77E-01	2.87E-02	bad-chisq
group_18570	1.00E-02	5.62E-01	5.64E-01	-1.01E-01	1.74E-01	3.34E-02	bad-chisq
group_18556	1.00E-02	5.62E-01	5.85E-01	-9.76E-02	1.78E-01	3.17E-02	bad-chisq
group_18553	1.00E-02	5.62E-01	5.82E-01	-9.65E-02	1.75E-01	3.19E-02	bad-chisq
group_18495	1.00E-02	1.76E-01	1.78E-01	2.35E-01	1.74E-01	7.79E-02	bad-chisq
group_18491	1.00E-02	1.76E-01	1.95E-01	2.26E-01	1.74E-01	7.51E-02	bad-chisq
group_18487	1.00E-02	1.76E-01	1.62E-01	2.44E-01	1.74E-01	8.09E-02	bad-chisq
group_18475	1.00E-02	1.76E-01	1.69E-01	2.40E-01	1.74E-01	7.95E-02	bad-chisq
group_18464	1.00E-02	5.62E-01	5.70E-01	-9.94E-02	1.75E-01	3.29E-02	bad-chisq
group_18454	1.00E-02	5.62E-01	6.01E-01	-9.19E-02	1.75E-01	3.03E-02	bad-chisq
group_18436	1.00E-02	5.62E-01	5.64E-01	-1.01E-01	1.75E-01	3.35E-02	bad-chisq
group_18396	1.00E-02	1.76E-01	1.80E-01	2.34E-01	1.74E-01	7.77E-02	bad-chisq
group_18387	1.00E-02	5.62E-01	5.54E-01	-1.03E-01	1.74E-01	3.43E-02	bad-chisq
group_18363	1.00E-02	5.62E-01	5.52E-01	-1.04E-01	1.74E-01	3.45E-02	bad-chisq
group_18354	1.00E-02	5.62E-01	6.64E-01	-7.80E-02	1.79E-01	2.52E-02	bad-chisq
group_18345	1.00E-02	5.62E-01	6.38E-01	-8.31E-02	1.76E-01	2.73E-02	bad-chisq
group_18328	1.00E-02	5.62E-01	5.56E-01	-1.03E-01	1.74E-01	3.41E-02	bad-chisq
group_18318	1.00E-02	5.62E-01	5.77E-01	-9.81E-02	1.76E-01	3.23E-02	bad-chisq
group_18303	1.00E-02	1.76E-01	1.59E-01	2.47E-01	1.75E-01	8.15E-02	bad-chisq
group_18295	1.00E-02	5.62E-01	6.07E-01	-9.04E-02	1.75E-01	2.98E-02	bad-chisq
group_18292	1.00E-02	5.62E-01	5.75E-01	-9.79E-02	1.74E-01	3.25E-02	bad-chisq
group_18286	1.00E-02	5.62E-01	5.78E-01	-9.74E-02	1.75E-01	3.23E-02	bad-chisq
group_18272	1.00E-02	5.62E-01	5.85E-01	-9.55E-02	1.75E-01	3.16E-02	bad-chisq
group_18263	1.00E-02	1.77E-07	1.11E-07	9.07E-01	1.67E-01	3.01E-01	bad-chisq
group_18250	1.00E-02	5.62E-01	5.73E-01	-9.85E-02	1.75E-01	3.27E-02	bad-chisq
group_18242	1.00E-02	1.76E-01	1.77E-01	2.35E-01	1.74E-01	7.81E-02	bad-chisq
group_18227	1.00E-02	5.62E-01	5.55E-01	-1.03E-01	1.74E-01	3.42E-02	bad-chisq
group_18223	1.00E-02	5.62E-01	6.64E-01	-7.80E-02	1.79E-01	2.52E-02	bad-chisq
group_18222	1.00E-02	5.62E-01	5.54E-01	-1.03E-01	1.74E-01	3.43E-02	bad-chisq
group_18209	1.00E-02	1.76E-01	1.68E-01	2.41E-01	1.74E-01	7.98E-02	bad-chisq
group_18192	1.00E-02	5.62E-01	6.20E-01	-8.76E-02	1.77E-01	2.87E-02	bad-chisq
group_18181	1.00E-02	5.62E-01	5.79E-01	-9.69E-02	1.75E-01	3.21E-02	bad-chisq
group_18171	1.00E-02	5.62E-01	6.14E-01	-8.93E-02	1.77E-01	2.93E-02	bad-chisq
group_18156	1.00E-02	5.62E-01	5.47E-01	-1.05E-01	1.74E-01	3.49E-02	bad-chisq
group_18133	1.00E-02	5.62E-01	5.59E-01	-1.02E-01	1.74E-01	3.39E-02	bad-chisq
group_18128	1.00E-02	5.62E-01	5.91E-01	-9.41E-02	1.75E-01	3.12E-02	bad-chisq
group_18126	1.00E-02	5.62E-01	5.47E-01	-1.05E-01	1.74E-01	3.49E-02	bad-chisq
group_18078	1.00E-02	5.62E-01	5.91E-01	-9.41E-02	1.75E-01	3.12E-02	bad-chisq
group_18050	1.00E-02	5.62E-01	5.64E-01	-1.01E-01	1.75E-01	3.34E-02	bad-chisq
group_18010	1.00E-02	1.76E-01	1.95E-01	2.26E-01	1.74E-01	7.51E-02	bad-chisq
group_17999	1.00E-02	5.62E-01	5.75E-01	-9.79E-02	1.74E-01	3.25E-02	bad-chisq
group_17994	1.00E-02	5.62E-01	5.92E-01	-9.42E-02	1.76E-01	3.11E-02	bad-chisq
group_17974	1.00E-02	5.62E-01	6.01E-01	-9.20E-02	1.76E-01	3.03E-02	bad-chisq
group_17971	1.00E-02	5.62E-01	5.80E-01	-9.68E-02	1.75E-01	3.21E-02	bad-chisq
group_17968	1.00E-02	5.62E-01	5.63E-01	-1.01E-01	1.74E-01	3.35E-02	bad-chisq
group_17961	1.00E-02	5.62E-01	5.80E-01	-9.69E-02	1.75E-01	3.21E-02	bad-chisq
group_17954	1.00E-02	5.62E-01	5.89E-01	-9.44E-02	1.75E-01	3.13E-02	bad-chisq
group_17948	1.00E-02	5.62E-01	5.47E-01	-1.05E-01	1.74E-01	3.49E-02	bad-chisq
group_17936	1.00E-02	1.76E-01	1.78E-01	2.36E-01	1.75E-01	7.80E-02	bad-chisq
